,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,resume,verified
117,Atharva,Deshmukh,atharva.deshmukh@rediffmail.com,,,Male,,Telangana,Hyderabad,6840973231,27,Family Law,Supreme Court,"['Kannada', 'Tamil', 'Bengali']",3.91,2023-12-17 11:18:15.168835,,False
118,Saisha,Sharma,saisha.sharma@rediffmail.com,,,Male,,Tamil Nadu,Chennai,5571871709,19,Corporate Law,District Court,"['English', 'Hindi', 'Telugu', 'Bengali']",4.24,2023-12-17 11:18:15.168835,,False
119,Daivik,Reddy,daivik.reddy@hotmail.com,,,Male,,West Bengal,Kolkata,8118535686,26,Personal Injury Law,District Court,"['Tamil', 'Kannada', 'Gujarati', 'Bengali', 'Marathi', 'Hindi', 'Telugu', 'English']",4.67,2023-12-17 11:18:15.168835,,False
120,Vidhi,Khan,vidhi.khan@rediffmail.com,,,Female,,Gujarat,Ahmedabad,6123563003,11,Civil Rights Law,District Court,"['Telugu', 'Marathi', 'Hindi', 'Bengali']",3.9,2023-12-17 11:18:15.168835,,False
121,Aarav,Naik,aarav.naik@yahoo.com,,,Male,,Karnataka,Bangalore,3449587733,20,Corporate Law,High Court,"['Bengali', 'Telugu', 'Kannada', 'Marathi', 'English', 'Gujarati', 'Hindi', 'Tamil']",4.29,2023-12-17 11:18:15.168835,,False
122,Ishaan,Reddy,ishaan.reddy@hotmail.com,,,Female,,Karnataka,Bangalore,3137215423,4,Civil Rights Law,District Court,"['Hindi', 'Tamil', 'Marathi', 'Kannada', 'English', 'Gujarati']",3.93,2023-12-17 11:18:15.168835,,False
123,Ananya,Thakur,ananya.thakur@hotmail.com,,,Male,,Uttar Pradesh,Lucknow,1364197865,9,Criminal Law,District Court,"['Bengali', 'Kannada', 'Marathi', 'Telugu', 'English', 'Gujarati', 'Tamil']",4.7,2023-12-17 11:18:15.168835,,False
124,Diya,Singh,diya.singh@gmail.com,,,Male,,Tamil Nadu,Chennai,3475828232,18,Real Estate Law,District Court,"['Telugu', 'Gujarati', 'Marathi', 'Hindi', 'Kannada', 'Tamil', 'English', 'Bengali']",3.48,2023-12-17 11:18:15.168835,,False
125,Mohit,Reddy,mohit.reddy@rediffmail.com,,,Female,,Uttar Pradesh,Lucknow,4083826898,18,Family Law,District Court,['Marathi'],3.22,2023-12-17 11:18:15.168835,,False
126,Ishwar,Malhotra,ishwar.malhotra@gmail.com,,,Female,,Karnataka,Bangalore,5023090921,15,Immigration Law,High Court,"['Gujarati', 'Tamil', 'Bengali', 'Telugu', 'English', 'Hindi', 'Marathi', 'Kannada']",4.32,2023-12-17 11:18:15.168835,,False
127,Sia,Rao,sia.rao@outlook.com,,,Male,,Telangana,Hyderabad,2412561752,3,Real Estate Law,District Court,['Tamil'],4.86,2023-12-17 11:18:15.168835,,False
128,Atharva,Malhotra,atharva.malhotra@hotmail.com,,,Male,,Delhi,Delhi,1534499537,5,Real Estate Law,District Court,"['Hindi', 'Telugu', 'Gujarati']",3.11,2023-12-17 11:18:15.168835,,False
129,Saanvi,Kumar,saanvi.kumar@rediffmail.com,,,Male,,Karnataka,Bangalore,9761220558,19,Family Law,Magistrate Court,"['Bengali', 'Marathi', 'English', 'Telugu']",4.85,2023-12-17 11:18:15.168835,,False
130,Ishani,Reddy,ishani.reddy@outlook.com,,,Male,,Delhi,Delhi,7606252647,18,Civil Rights Law,High Court,"['Hindi', 'Tamil', 'Gujarati', 'Telugu']",3.88,2023-12-17 11:18:15.168835,,False
131,Suhana,Thakur,suhana.thakur@yahoo.com,,,Female,,Gujarat,Ahmedabad,5735698033,16,Personal Injury Law,District Court,"['Telugu', 'Bengali', 'Hindi', 'English', 'Gujarati', 'Marathi', 'Tamil', 'Kannada']",4.86,2023-12-17 11:18:15.168835,,False
132,Ishaan,Chauhan,ishaan.chauhan@rediffmail.com,,,Female,,Maharashtra,Mumbai,9867842437,21,Real Estate Law,Supreme Court,"['Kannada', 'Tamil', 'English', 'Hindi']",3.62,2023-12-17 11:18:15.168835,,False
133,Shreya,Verma,shreya.verma@rediffmail.com,,,Male,,Karnataka,Bangalore,1742589839,29,Real Estate Law,Supreme Court,"['Marathi', 'Hindi', 'Gujarati', 'Tamil', 'Kannada', 'English']",4.76,2023-12-17 11:18:15.168835,,False
134,Suhana,Das,suhana.das@gmail.com,,,Male,,Karnataka,Bangalore,6595820350,21,Immigration Law,Magistrate Court,"['Gujarati', 'Tamil']",4.95,2023-12-17 11:18:15.168835,,False
135,Kavya,Khan,kavya.khan@rediffmail.com,,,Male,,Maharashtra,Pune,5680921408,26,Corporate Law,High Court,"['Hindi', 'Bengali', 'Gujarati', 'Kannada', 'Marathi', 'English', 'Telugu', 'Tamil']",3.91,2023-12-17 11:18:15.168835,,False
136,Shaurya,Reddy,shaurya.reddy@hotmail.com,,,Female,,Karnataka,Bangalore,8470301198,19,Family Law,High Court,['Marathi'],4.32,2023-12-17 11:18:15.168835,,False
137,Aryan,Singh,aryan.singh@rediffmail.com,,,Male,,Tamil Nadu,Chennai,1366440016,4,Criminal Law,High Court,"['Tamil', 'Bengali', 'English', 'Hindi', 'Kannada', 'Marathi', 'Gujarati']",3.52,2023-12-17 11:18:15.168835,,False
138,Tanvi,Pathak,tanvi.pathak@outlook.com,,,Male,,Delhi,Delhi,6923053609,17,Immigration Law,District Court,"['Telugu', 'Gujarati', 'Hindi']",3.62,2023-12-17 11:18:15.168835,,False
139,Mihika,Patel,mihika.patel@rediffmail.com,,,Male,,Uttar Pradesh,Lucknow,9680901451,10,Corporate Law,Sessions Court,"['Hindi', 'Bengali', 'Telugu', 'English', 'Gujarati', 'Marathi']",4.17,2023-12-17 11:18:15.168835,,False
140,Pari,Singh,pari.singh@yahoo.com,,,Male,,Rajasthan,Jaipur,4438263448,11,Civil Rights Law,High Court,"['English', 'Telugu']",4.3,2023-12-17 11:18:15.168835,,False
141,Kiara,Rao,kiara.rao@rediffmail.com,,,Male,,West Bengal,Kolkata,8798051793,18,Immigration Law,Supreme Court,"['Marathi', 'English', 'Gujarati', 'Tamil', 'Kannada', 'Hindi', 'Bengali']",3.61,2023-12-17 11:18:15.168835,,False
142,Om,Shah,om.shah@rediffmail.com,,,Male,,Rajasthan,Jaipur,3140779284,25,Civil Rights Law,High Court,"['Kannada', 'Gujarati', 'Hindi', 'Tamil']",3.09,2023-12-17 11:18:15.168835,,False
143,Neev,Naik,neev.naik@hotmail.com,,,Male,,Delhi,Delhi,5742617386,18,Family Law,District Court,"['Hindi', 'Gujarati']",3.15,2023-12-17 11:18:15.168835,,False
144,Sia,Choudhary,sia.choudhary@outlook.com,,,Male,,Maharashtra,Pune,3565661868,30,Family Law,Supreme Court,"['Gujarati', 'Tamil', 'Kannada', 'English']",4.4,2023-12-17 11:18:15.168835,,False
145,Shlok,Pathak,shlok.pathak@gmail.com,,,Female,,Telangana,Hyderabad,6393770544,24,Family Law,High Court,"['Gujarati', 'Telugu', 'Marathi', 'Hindi', 'Tamil', 'Bengali']",3.52,2023-12-17 11:18:15.168835,,False
146,Aryan,Kumar,aryan.kumar@gmail.com,,,Male,,Gujarat,Ahmedabad,8861179390,27,Family Law,Sessions Court,"['English', 'Marathi']",3.82,2023-12-17 11:18:15.168835,,False
147,Daivik,Chauhan,daivik.chauhan@hotmail.com,,,Male,,West Bengal,Kolkata,7952709479,21,Personal Injury Law,High Court,"['Telugu', 'Kannada', 'Bengali', 'Tamil', 'Gujarati', 'Marathi', 'English', 'Hindi']",3.42,2023-12-17 11:18:15.168835,,False
148,Raghav,Kumar,raghav.kumar@gmail.com,,,Male,,Rajasthan,Jaipur,1863394178,7,Personal Injury Law,Supreme Court,"['English', 'Telugu']",3.16,2023-12-17 11:18:15.168835,,False
149,Dhruv,Jha,dhruv.jha@hotmail.com,,,Male,,Telangana,Hyderabad,5649272803,18,Civil Rights Law,Supreme Court,"['Gujarati', 'Hindi', 'Telugu', 'Marathi', 'Tamil', 'English']",4.67,2023-12-17 11:18:15.168835,,False
150,Zoya,Das,zoya.das@gmail.com,,,Male,,Karnataka,Bangalore,4176849975,29,Civil Rights Law,Sessions Court,"['Kannada', 'Tamil']",4.9,2023-12-17 11:18:15.168835,,False
151,Ishita,Deshmukh,ishita.deshmukh@rediffmail.com,,,Female,,Telangana,Hyderabad,4301633380,2,Corporate Law,Sessions Court,"['Hindi', 'Bengali', 'English', 'Kannada', 'Telugu', 'Gujarati', 'Marathi', 'Tamil']",4.25,2023-12-17 11:18:15.168835,,False
152,Diya,Verma,diya.verma@gmail.com,,,Female,,Uttar Pradesh,Lucknow,1758424400,30,Corporate Law,Magistrate Court,"['Hindi', 'Tamil', 'Bengali', 'Gujarati']",4.55,2023-12-17 11:18:15.168835,,False
153,Ishaan,Pradhan,ishaan.pradhan@yahoo.com,,,Male,,Maharashtra,Mumbai,8300504822,19,Personal Injury Law,Sessions Court,"['English', 'Hindi', 'Telugu', 'Marathi', 'Bengali', 'Gujarati']",4.58,2023-12-17 11:18:15.168835,,False
154,Vidhi,Patel,vidhi.patel@hotmail.com,,,Female,,Karnataka,Bangalore,2909479631,26,Personal Injury Law,District Court,"['Hindi', 'Kannada', 'Bengali', 'Tamil', 'Gujarati']",3.07,2023-12-17 11:18:15.168835,,False
155,Eshan,Jha,eshan.jha@yahoo.com,,,Male,,Uttar Pradesh,Lucknow,4000293242,6,Criminal Law,Sessions Court,"['Bengali', 'English', 'Hindi', 'Tamil', 'Gujarati', 'Marathi', 'Kannada', 'Telugu']",4.8,2023-12-17 11:18:15.168835,,False
156,Ishita,Mishra,ishita.mishra@yahoo.com,,,Female,,Rajasthan,Jaipur,3289812115,1,Family Law,Magistrate Court,"['English', 'Tamil', 'Marathi']",4.39,2023-12-17 11:18:15.168835,,False
157,Shaurya,Choudhary,shaurya.choudhary@outlook.com,,,Female,,Uttar Pradesh,Lucknow,7856699404,2,Corporate Law,District Court,"['English', 'Bengali', 'Tamil', 'Hindi', 'Marathi']",3.05,2023-12-17 11:18:15.168835,,False
158,Aarohi,Gupta,aarohi.gupta@hotmail.com,,,Male,,Tamil Nadu,Chennai,7865613049,26,Corporate Law,District Court,['Hindi'],3.12,2023-12-17 11:18:15.168835,,False
159,Ishani,Verma,ishani.verma@rediffmail.com,,,Female,,Maharashtra,Pune,6467447743,27,Personal Injury Law,Supreme Court,"['Bengali', 'Kannada', 'Hindi', 'Tamil', 'English']",3.57,2023-12-17 11:18:15.168835,,False
160,Ananya,Naik,ananya.naik@hotmail.com,,,Male,,Maharashtra,Pune,5583827728,14,Immigration Law,High Court,"['Tamil', 'Hindi']",4.66,2023-12-17 11:18:15.168835,,False
161,Aryan,Pradhan,aryan.pradhan@gmail.com,,,Female,,Tamil Nadu,Chennai,7074652854,29,Real Estate Law,Magistrate Court,"['Hindi', 'Tamil', 'Telugu', 'Gujarati', 'English', 'Kannada', 'Bengali', 'Marathi']",4.01,2023-12-17 11:18:15.168835,,False
162,Arjun,Chauhan,arjun.chauhan@yahoo.com,,,Male,,Uttar Pradesh,Lucknow,8349575446,23,Civil Rights Law,Sessions Court,"['Gujarati', 'Bengali', 'Tamil', 'Telugu', 'English']",4.85,2023-12-17 11:18:15.168835,,False
163,Ishika,Pandey,ishika.pandey@rediffmail.com,,,Male,,Tamil Nadu,Chennai,4338733752,4,Real Estate Law,Supreme Court,"['Gujarati', 'Tamil', 'Kannada', 'Telugu', 'Marathi', 'Bengali']",4.88,2023-12-17 11:18:15.168835,,False
164,Neha,Deshmukh,neha.deshmukh@outlook.com,,,Female,,Maharashtra,Pune,3363724595,19,Real Estate Law,Magistrate Court,"['Kannada', 'Marathi']",4.81,2023-12-17 11:18:15.168835,,False
165,Pranav,Mishra,pranav.mishra@outlook.com,,,Male,,Maharashtra,Mumbai,4213866874,29,Immigration Law,High Court,"['English', 'Kannada', 'Gujarati', 'Bengali', 'Tamil']",3.53,2023-12-17 11:18:15.168835,,False
166,Avni,Roy,avni.roy@outlook.com,,,Female,,Karnataka,Bangalore,2110368398,11,Family Law,Supreme Court,"['Hindi', 'Telugu', 'Marathi', 'Tamil', 'Bengali', 'Gujarati', 'Kannada', 'English']",3.25,2023-12-17 11:18:15.168835,,False
167,Pranav,Kumar,pranav.kumar@rediffmail.com,,,Male,,Maharashtra,Pune,9060317327,28,Real Estate Law,Sessions Court,"['Tamil', 'Gujarati', 'Kannada', 'Hindi', 'Marathi', 'Bengali', 'Telugu', 'English']",3.8,2023-12-17 11:18:15.168835,,False
168,Rohan,Pathak,rohan.pathak@yahoo.com,,,Male,,Gujarat,Ahmedabad,2695723078,10,Civil Rights Law,Supreme Court,"['Kannada', 'Gujarati', 'Tamil', 'Hindi', 'English', 'Telugu', 'Marathi', 'Bengali']",3.33,2023-12-17 11:18:15.168835,,False
169,Diya,Reddy,diya.reddy@rediffmail.com,,,Female,,Gujarat,Ahmedabad,2822892685,3,Corporate Law,Sessions Court,"['Gujarati', 'Kannada', 'Bengali']",3.61,2023-12-17 11:18:15.168835,,False
170,Avni,Malhotra,avni.malhotra@hotmail.com,,,Female,,Delhi,Delhi,5944524086,27,Personal Injury Law,Sessions Court,"['Hindi', 'English', 'Bengali', 'Tamil', 'Marathi', 'Gujarati', 'Kannada', 'Telugu']",3.06,2023-12-17 11:18:15.168835,,False
171,Aadi,Pradhan,aadi.pradhan@outlook.com,,,Female,,Maharashtra,Mumbai,9555323697,26,Family Law,Sessions Court,"['Kannada', 'Bengali', 'Tamil']",4.01,2023-12-17 11:18:15.168835,,False
172,Pari,Pathak,pari.pathak@gmail.com,,,Female,,West Bengal,Kolkata,4818660252,26,Personal Injury Law,High Court,['Kannada'],4.99,2023-12-17 11:18:15.168835,,False
173,Arjun,Verma,arjun.verma@yahoo.com,,,Female,,Uttar Pradesh,Lucknow,1493532385,27,Criminal Law,Magistrate Court,['Kannada'],3.47,2023-12-17 11:18:15.168835,,False
174,Shiv,Chauhan,shiv.chauhan@outlook.com,,,Female,,Uttar Pradesh,Lucknow,1348544765,17,Family Law,Sessions Court,"['English', 'Gujarati', 'Telugu', 'Hindi']",3.01,2023-12-17 11:18:15.168835,,False
175,Yuvan,Mishra,yuvan.mishra@yahoo.com,,,Male,,Karnataka,Bangalore,2882088104,4,Family Law,Supreme Court,"['Tamil', 'Bengali', 'Marathi', 'Hindi', 'Kannada', 'Telugu', 'English']",4.98,2023-12-17 11:18:15.168835,,False
176,Shaurya,Shah,shaurya.shah@outlook.com,,,Male,,West Bengal,Kolkata,9161779190,15,Immigration Law,High Court,"['Tamil', 'Marathi', 'Kannada', 'Bengali', 'English', 'Telugu']",3.06,2023-12-17 11:18:15.168835,,False
177,Aditya,Verma,aditya.verma@outlook.com,,,Male,,Tamil Nadu,Chennai,9389333794,24,Real Estate Law,High Court,"['Marathi', 'Telugu', 'Gujarati', 'Kannada', 'Hindi', 'English']",4.11,2023-12-17 11:18:15.168835,,False
178,Aarohi,Mishra,aarohi.mishra@yahoo.com,,,Female,,Uttar Pradesh,Lucknow,5808307439,17,Real Estate Law,District Court,"['Kannada', 'Telugu', 'Marathi', 'English']",4.46,2023-12-17 11:18:15.168835,,False
179,Ishani,Chauhan,ishani.chauhan@outlook.com,,,Female,,Delhi,Delhi,9558405651,29,Civil Rights Law,High Court,"['Hindi', 'Tamil']",3.63,2023-12-17 11:18:15.168835,,False
180,Eshan,Naik,eshan.naik@hotmail.com,,,Female,,Karnataka,Bangalore,3208810646,4,Civil Rights Law,District Court,"['Hindi', 'Marathi']",3.77,2023-12-17 11:18:15.168835,,False
181,Avishi,Singh,avishi.singh@rediffmail.com,,,Male,,Tamil Nadu,Chennai,2089285833,6,Civil Rights Law,Supreme Court,"['Telugu', 'Marathi', 'Kannada', 'Gujarati', 'Hindi']",4.6,2023-12-17 11:18:15.168835,,False
182,Neev,Reddy,neev.reddy@yahoo.com,,,Male,,Delhi,Delhi,4893364644,20,Criminal Law,Sessions Court,"['Tamil', 'Telugu', 'Gujarati', 'Kannada', 'Marathi', 'Hindi', 'English', 'Bengali']",3.97,2023-12-17 11:18:15.168835,,False
183,Zara,Patel,zara.patel@outlook.com,,,Male,,Rajasthan,Jaipur,7697771420,27,Real Estate Law,District Court,['Telugu'],4.2,2023-12-17 11:18:15.168835,,False
184,Kavya,Singh,kavya.singh@yahoo.com,,,Male,,Delhi,Delhi,6869137402,18,Family Law,Magistrate Court,"['Gujarati', 'Telugu', 'Hindi', 'Marathi', 'Tamil', 'Kannada', 'English', 'Bengali']",3.19,2023-12-17 11:18:15.168835,,False
185,Yuvaan,Reddy,yuvaan.reddy@hotmail.com,,,Male,,Maharashtra,Pune,2637008963,17,Real Estate Law,High Court,"['Telugu', 'Hindi', 'Marathi', 'Bengali', 'Tamil', 'Kannada', 'English']",4.19,2023-12-17 11:18:15.168835,,False
186,Aarushi,Pandey,aarushi.pandey@yahoo.com,,,Female,,Gujarat,Ahmedabad,2287192344,4,Immigration Law,High Court,['Bengali'],4.38,2023-12-17 11:18:15.168835,,False
187,Bhavya,Choudhary,bhavya.choudhary@outlook.com,,,Male,,Telangana,Hyderabad,2058929405,3,Corporate Law,District Court,"['Tamil', 'Hindi', 'Gujarati', 'Bengali']",4.19,2023-12-17 11:18:15.168835,,False
188,Kiara,Mishra,kiara.mishra@outlook.com,,,Male,,West Bengal,Kolkata,6248832259,25,Criminal Law,Magistrate Court,"['English', 'Telugu', 'Bengali', 'Tamil', 'Hindi', 'Gujarati', 'Marathi']",3.99,2023-12-17 11:18:15.168835,,False
189,Kritika,Sharma,kritika.sharma@outlook.com,,,Male,,Uttar Pradesh,Lucknow,2913635225,22,Personal Injury Law,Magistrate Court,"['English', 'Bengali', 'Telugu', 'Marathi', 'Hindi', 'Gujarati', 'Tamil', 'Kannada']",3.89,2023-12-17 11:18:15.168835,,False
190,Kabir,Sharma,kabir.sharma@yahoo.com,,,Female,,Tamil Nadu,Chennai,1123477462,26,Corporate Law,Sessions Court,"['English', 'Hindi', 'Gujarati', 'Bengali', 'Tamil', 'Telugu']",3.47,2023-12-17 11:18:15.168835,,False
191,Tanishq,Gupta,tanishq.gupta@gmail.com,,,Male,,Maharashtra,Pune,4633734800,30,Family Law,Magistrate Court,"['Gujarati', 'Kannada', 'Hindi', 'Telugu', 'Bengali', 'Marathi', 'Tamil']",3.27,2023-12-17 11:18:15.168835,,False
192,Shaurya,Yadav,shaurya.yadav@hotmail.com,,,Male,,Karnataka,Bangalore,3890061916,12,Corporate Law,Supreme Court,"['Gujarati', 'English']",3.68,2023-12-17 11:18:15.168835,,False
193,Yash,Yadav,yash.yadav@gmail.com,,,Female,,Delhi,Delhi,6930413920,12,Civil Rights Law,Magistrate Court,"['Bengali', 'English', 'Hindi']",3.7,2023-12-17 11:18:15.168835,,False
194,Raghav,Deshmukh,raghav.deshmukh@yahoo.com,,,Male,,Rajasthan,Jaipur,8879975146,5,Corporate Law,Magistrate Court,"['English', 'Tamil', 'Marathi']",4.25,2023-12-17 11:18:15.168835,,False
195,Aditya,Khan,aditya.khan@yahoo.com,,,Female,,Uttar Pradesh,Lucknow,5004193439,21,Criminal Law,Sessions Court,"['Marathi', 'Gujarati', 'Tamil', 'Kannada', 'Hindi', 'Bengali', 'English', 'Telugu']",3.0,2023-12-17 11:18:15.168835,,False
196,Tanvi,Deshmukh,tanvi.deshmukh@yahoo.com,,,Male,,Telangana,Hyderabad,7439895924,7,Family Law,District Court,"['Gujarati', 'Marathi', 'Hindi', 'Tamil']",4.11,2023-12-17 11:18:15.168835,,False
197,Neev,Das,neev.das@gmail.com,,,Male,,Rajasthan,Jaipur,5327544837,3,Corporate Law,Supreme Court,"['Telugu', 'Bengali', 'Hindi', 'English', 'Gujarati', 'Marathi', 'Kannada', 'Tamil']",4.78,2023-12-17 11:18:15.168835,,False
198,Zoya,Reddy,zoya.reddy@hotmail.com,,,Female,,West Bengal,Kolkata,9748825156,19,Personal Injury Law,Sessions Court,"['Tamil', 'Marathi']",3.91,2023-12-17 11:18:15.168835,,False
199,Rohan,Das,rohan.das@gmail.com,,,Male,,Rajasthan,Jaipur,7487908164,16,Corporate Law,District Court,"['Marathi', 'Bengali']",3.75,2023-12-17 11:18:15.168835,,False
200,Mira,Pradhan,mira.pradhan@hotmail.com,,,Female,,Maharashtra,Mumbai,5587408365,8,Immigration Law,District Court,['Gujarati'],3.19,2023-12-17 11:18:15.168835,,False
201,Atharva,Verma,atharva.verma@rediffmail.com,,,Male,,Uttar Pradesh,Lucknow,2090105500,7,Immigration Law,Sessions Court,"['Bengali', 'Tamil', 'English', 'Hindi', 'Telugu', 'Kannada']",4.79,2023-12-17 11:18:15.168835,,False
202,Saanvi,Pathak,saanvi.pathak@yahoo.com,,,Female,,Maharashtra,Pune,5085270725,12,Civil Rights Law,District Court,"['Bengali', 'Telugu', 'English', 'Tamil', 'Hindi']",4.25,2023-12-17 11:18:15.168835,,False
203,Aadi,Rao,aadi.rao@rediffmail.com,,,Female,,Delhi,Delhi,8776320526,29,Criminal Law,High Court,"['Kannada', 'Telugu', 'English', 'Marathi', 'Gujarati']",3.4,2023-12-17 11:18:15.168835,,False
204,Shreya,Gupta,shreya.gupta@gmail.com,,,Male,,Gujarat,Ahmedabad,5006866554,2,Real Estate Law,Sessions Court,"['Kannada', 'Tamil', 'Telugu', 'English', 'Hindi', 'Gujarati', 'Bengali', 'Marathi']",3.9,2023-12-17 11:18:15.168835,,False
205,Yuvika,Das,yuvika.das@hotmail.com,,,Female,,Gujarat,Ahmedabad,8289811037,29,Criminal Law,Magistrate Court,"['Tamil', 'Bengali', 'Telugu', 'Marathi']",3.72,2023-12-17 11:18:15.168835,,False
206,Sia,Naik,sia.naik@hotmail.com,,,Male,,Uttar Pradesh,Lucknow,8961316704,8,Immigration Law,Magistrate Court,"['Kannada', 'Telugu', 'Gujarati', 'Bengali']",4.19,2023-12-17 11:18:15.168835,,False
207,Tanishq,Shah,tanishq.shah@yahoo.com,,,Male,,Karnataka,Bangalore,4640713502,9,Civil Rights Law,Sessions Court,"['Gujarati', 'Bengali', 'Hindi', 'Kannada', 'English', 'Telugu', 'Marathi']",4.42,2023-12-17 11:18:15.168835,,False
208,Esha,Roy,esha.roy@yahoo.com,,,Male,,West Bengal,Kolkata,7045416943,30,Immigration Law,Magistrate Court,"['Hindi', 'Bengali']",3.73,2023-12-17 11:18:15.168835,,False
209,Arjun,Pandey,arjun.pandey@gmail.com,,,Female,,Karnataka,Bangalore,3862850926,9,Criminal Law,Sessions Court,"['Kannada', 'Tamil', 'Bengali', 'English', 'Hindi']",3.5,2023-12-17 11:18:15.168835,,False
210,Kiaan,Kumar,kiaan.kumar@gmail.com,,,Female,,West Bengal,Kolkata,2407823525,18,Immigration Law,Magistrate Court,"['Marathi', 'Kannada', 'Telugu', 'Bengali', 'Tamil']",4.4,2023-12-17 11:18:15.168835,,False
211,Tanishq,Roy,tanishq.roy@rediffmail.com,,,Female,,Maharashtra,Mumbai,4994269905,2,Immigration Law,Magistrate Court,"['Bengali', 'Gujarati', 'Hindi', 'Tamil', 'Telugu', 'Kannada']",4.16,2023-12-17 11:18:15.168835,,False
212,Kavya,Reddy,kavya.reddy@gmail.com,,,Male,,Delhi,Delhi,7647473371,19,Personal Injury Law,High Court,"['English', 'Kannada', 'Marathi', 'Hindi']",3.32,2023-12-17 11:18:15.168835,,False
213,Aarohi,Thakur,aarohi.thakur@hotmail.com,,,Male,,West Bengal,Kolkata,5767910640,24,Personal Injury Law,Magistrate Court,"['Tamil', 'Kannada', 'Hindi', 'Gujarati', 'Marathi', 'Telugu', 'English', 'Bengali']",3.52,2023-12-17 11:18:15.168835,,False
214,Yash,Yadav,yash.yadav@yahoo.com,,,Male,,Gujarat,Ahmedabad,1623253631,5,Corporate Law,Magistrate Court,['Telugu'],4.4,2023-12-17 11:18:15.168835,,False
215,Shiv,Das,shiv.das@rediffmail.com,,,Male,,Karnataka,Bangalore,7476527845,27,Corporate Law,Magistrate Court,"['Telugu', 'Bengali', 'Hindi', 'English', 'Tamil', 'Kannada', 'Gujarati', 'Marathi']",3.74,2023-12-17 11:18:15.168835,,False
216,Kiaan,Gupta,kiaan.gupta@hotmail.com,,,Female,,Rajasthan,Jaipur,1004249365,12,Criminal Law,High Court,"['English', 'Kannada', 'Bengali', 'Tamil', 'Marathi', 'Hindi', 'Telugu']",3.15,2023-12-17 11:18:15.168835,,False
217,Ishaan,Das,ishaan.das@yahoo.com,,,Female,,Tamil Nadu,Chennai,9613452083,7,Corporate Law,Supreme Court,"['Bengali', 'Gujarati', 'English', 'Tamil', 'Marathi', 'Telugu', 'Kannada', 'Hindi']",4.9,2023-12-17 11:18:15.168835,,False
218,Pranav,Pradhan,pranav.pradhan@hotmail.com,,,Male,,Rajasthan,Jaipur,6044686846,18,Family Law,Sessions Court,"['Tamil', 'English', 'Gujarati', 'Hindi', 'Kannada', 'Marathi', 'Telugu']",4.32,2023-12-17 11:18:15.168835,,False
219,Neev,Naik,neev.naik@hotmail.com,,,Male,,Maharashtra,Pune,911373472,12,Criminal Law,Sessions Court,"['Hindi', 'Telugu', 'Gujarati']",3.49,2023-12-17 11:18:15.168835,,False
220,Hrithik,Choudhary,hrithik.choudhary@gmail.com,,,Female,,Karnataka,Bangalore,8799006811,12,Family Law,Supreme Court,"['Kannada', 'Tamil', 'Hindi']",3.59,2023-12-17 11:18:15.168835,,False
221,Shaurya,Pandey,shaurya.pandey@outlook.com,,,Male,,Tamil Nadu,Chennai,2109300567,27,Personal Injury Law,District Court,['English'],4.92,2023-12-17 11:18:15.168835,,False
222,Pranav,Malhotra,pranav.malhotra@yahoo.com,,,Female,,West Bengal,Kolkata,6013279898,14,Immigration Law,High Court,"['Hindi', 'Bengali', 'Gujarati', 'Kannada', 'Telugu', 'Marathi']",4.91,2023-12-17 11:18:15.168835,,False
223,Neev,Das,neev.das@yahoo.com,,,Male,,Karnataka,Bangalore,7210653086,26,Immigration Law,Supreme Court,"['Telugu', 'Bengali', 'Gujarati', 'Hindi', 'Marathi', 'English', 'Kannada', 'Tamil']",4.17,2023-12-17 11:18:15.168835,,False
224,Kiaan,Pandey,kiaan.pandey@hotmail.com,,,Female,,Maharashtra,Mumbai,8801888208,21,Civil Rights Law,District Court,"['English', 'Gujarati', 'Hindi', 'Kannada']",3.58,2023-12-17 11:18:15.168835,,False
225,Arjun,Pradhan,arjun.pradhan@rediffmail.com,,,Male,,Maharashtra,Mumbai,8482293895,4,Personal Injury Law,District Court,"['Bengali', 'Kannada']",4.11,2023-12-17 11:18:15.168835,,False
226,Riya,Pathak,riya.pathak@yahoo.com,,,Female,,Telangana,Hyderabad,6907112399,10,Family Law,High Court,"['Telugu', 'Gujarati']",4.6,2023-12-17 11:18:15.168835,,False
227,Aarav,Yadav,aarav.yadav@gmail.com,,,Female,,Delhi,Delhi,3063332811,11,Immigration Law,Supreme Court,"['Bengali', 'Kannada', 'Tamil', 'Telugu', 'English', 'Marathi', 'Gujarati']",3.0,2023-12-17 11:18:15.168835,,False
228,Arjun,Pradhan,arjun.pradhan@outlook.com,,,Female,,Delhi,Delhi,7851849165,14,Immigration Law,Magistrate Court,"['Tamil', 'Bengali', 'English', 'Gujarati', 'Kannada']",3.55,2023-12-17 11:18:15.168835,,False
229,Tanvi,Pandey,tanvi.pandey@gmail.com,,,Male,,West Bengal,Kolkata,4670417350,14,Personal Injury Law,High Court,"['Gujarati', 'English', 'Tamil', 'Marathi', 'Bengali']",4.18,2023-12-17 11:18:15.168835,,False
230,Om,Roy,om.roy@hotmail.com,,,Female,,Maharashtra,Pune,6398110604,18,Civil Rights Law,High Court,"['Telugu', 'Tamil', 'English', 'Marathi', 'Gujarati', 'Kannada', 'Bengali', 'Hindi']",4.53,2023-12-17 11:18:15.168835,,False
