,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,degree_doc,verified,min_cost_per_hr
110,Yuvika,Pathak,yuvika.pathak@rediffmail.com,,,Female,226091,Uttar Pradesh,Lucknow,8762384244,2,Immigration Law,District Court,"['English', 'Kannada', 'Hindi', 'Gujarati', 'Tamil', 'Marathi', 'Telugu', 'Bengali']",4.85,2023-12-19 21:50:58.549698,,True,2423
111,Mohit,Chauhan,mohit.chauhan@outlook.com,,,Female,560023,Karnataka,Bangalore,2090601293,14,Personal Injury Law,Sessions Court,"['Marathi', 'Telugu']",3.86,2023-12-19 21:50:58.549698,,True,6433
112,Pari,Khan,pari.khan@hotmail.com,,,Female,226072,Uttar Pradesh,Lucknow,3323907399,24,Criminal Law,Supreme Court,"['Kannada', 'Hindi', 'Tamil', 'English']",3.74,2023-12-19 21:50:58.549698,,True,3933
113,Kiara,Sharma,kiara.sharma@outlook.com,,,Female,302068,Rajasthan,Jaipur,5544254291,7,Personal Injury Law,District Court,"['Bengali', 'Marathi', 'Tamil', 'Hindi', 'Gujarati']",4.99,2023-12-19 21:50:58.549698,,True,5265
114,Hrithik,Das,hrithik.das@yahoo.com,,,Male,500056,Telangana,Hyderabad,5030200240,13,Immigration Law,Magistrate Court,['Marathi'],3.39,2023-12-19 21:50:58.549698,,True,4173
115,Atharva,Pandey,atharva.pandey@yahoo.com,,,Female,110084,Delhi,Delhi,6830385079,22,Personal Injury Law,Supreme Court,"['Gujarati', 'Hindi', 'English']",3.56,2023-12-19 21:50:58.549698,,True,4629
116,Shlok,Roy,shlok.roy@hotmail.com,,,Female,600034,Tamil Nadu,Chennai,6687745133,5,Immigration Law,Supreme Court,['Gujarati'],4.01,2023-12-19 21:50:58.549698,,True,3007
117,Ishwar,Jha,ishwar.jha@rediffmail.com,,,Male,560069,Karnataka,Bangalore,4287947928,5,Criminal Law,High Court,"['Bengali', 'English']",4.58,2023-12-19 21:50:58.549698,,True,4919
118,Pranav,Chauhan,pranav.chauhan@gmail.com,,,Male,560027,Karnataka,Bangalore,8871596913,28,Corporate Law,Magistrate Court,"['Kannada', 'Bengali', 'Telugu', 'English', 'Marathi', 'Gujarati', 'Hindi', 'Tamil']",4.99,2023-12-19 21:50:58.549698,,True,5995
119,Kabir,Khan,kabir.khan@yahoo.com,,,Female,380075,Gujarat,Ahmedabad,1438517768,20,Personal Injury Law,Supreme Court,"['Marathi', 'Hindi', 'English', 'Telugu', 'Tamil', 'Gujarati', 'Bengali', 'Kannada']",4.7,2023-12-19 21:50:58.549698,,True,3166
120,Aarushi,Patel,aarushi.patel@yahoo.com,,,Male,380024,Gujarat,Ahmedabad,3678268922,29,Immigration Law,Sessions Court,"['Gujarati', 'Hindi', 'Marathi', 'English', 'Telugu']",3.21,2023-12-19 21:50:58.549698,,True,5088
121,Raghav,Reddy,raghav.reddy@rediffmail.com,,,Male,302058,Rajasthan,Jaipur,5488067716,12,Civil Rights Law,Sessions Court,"['Marathi', 'Tamil', 'Telugu', 'Gujarati', 'Bengali', 'English', 'Hindi', 'Kannada']",3.99,2023-12-19 21:50:58.549698,,True,5826
122,Neev,Verma,neev.verma@gmail.com,,,Female,226084,Uttar Pradesh,Lucknow,6275077175,13,Corporate Law,Supreme Court,"['English', 'Tamil', 'Kannada', 'Telugu']",3.03,2023-12-19 21:50:58.549698,,True,6891
123,Arjun,Sharma,arjun.sharma@rediffmail.com,,,Female,600064,Tamil Nadu,Chennai,7359257636,13,Criminal Law,Sessions Court,['Hindi'],3.43,2023-12-19 21:50:58.549698,,True,3162
124,Saisha,Gupta,saisha.gupta@outlook.com,,,Female,110064,Delhi,Delhi,5087002091,24,Civil Rights Law,High Court,"['Telugu', 'Marathi', 'Bengali', 'English', 'Kannada']",4.85,2023-12-19 21:50:58.549698,,True,5167
125,Ishani,Naik,ishani.naik@yahoo.com,,,Female,411024,Maharashtra,Mumbai,4947828025,21,Corporate Law,Magistrate Court,['Gujarati'],4.66,2023-12-19 21:50:58.549698,,True,6233
126,Suhana,Pathak,suhana.pathak@outlook.com,,,Female,700041,West Bengal,Kolkata,4126894532,6,Civil Rights Law,Sessions Court,"['Tamil', 'Bengali', 'Telugu', 'Gujarati', 'Kannada', 'Marathi']",4.32,2023-12-19 21:50:58.549698,,True,2749
127,Ishwar,Kumar,ishwar.kumar@hotmail.com,,,Female,110050,Delhi,Delhi,7868997245,18,Corporate Law,High Court,"['English', 'Tamil', 'Hindi', 'Kannada']",3.33,2023-12-19 21:50:58.549698,,True,4827
128,Vivaan,Naik,vivaan.naik@yahoo.com,,,Female,302097,Rajasthan,Jaipur,9180036540,22,Criminal Law,Supreme Court,"['Kannada', 'Bengali', 'Hindi', 'Tamil', 'English']",4.05,2023-12-19 21:50:58.549698,,True,5136
129,Vidhi,Khan,vidhi.khan@outlook.com,,,Male,411025,Maharashtra,Mumbai,3916088488,24,Real Estate Law,Supreme Court,"['Bengali', 'Tamil', 'Kannada', 'Gujarati']",4.69,2023-12-19 21:50:58.549698,,True,6660
130,Avishi,Das,avishi.das@hotmail.com,,,Male,302012,Rajasthan,Jaipur,8856156392,16,Family Law,Supreme Court,"['Bengali', 'Gujarati', 'Hindi', 'English']",3.62,2023-12-19 21:50:58.549698,,True,4109
131,Niyati,Deshmukh,niyati.deshmukh@outlook.com,,,Male,380011,Gujarat,Ahmedabad,5502445683,19,Criminal Law,Magistrate Court,"['Tamil', 'Kannada', 'Bengali', 'Marathi', 'Gujarati', 'English']",3.36,2023-12-19 21:50:58.549698,,True,6850
132,Zoya,Sharma,zoya.sharma@hotmail.com,,,Female,226093,Uttar Pradesh,Lucknow,2305493266,1,Criminal Law,High Court,['English'],3.28,2023-12-19 21:50:58.549698,,True,5954
133,Chahat,Deshmukh,chahat.deshmukh@yahoo.com,,,Female,110049,Delhi,Delhi,5433892915,16,Family Law,Sessions Court,"['Hindi', 'Kannada', 'Marathi', 'Telugu', 'Tamil', 'English', 'Gujarati']",4.51,2023-12-19 21:50:58.549698,,True,2582
134,Kavya,Mishra,kavya.mishra@hotmail.com,,,Female,600078,Tamil Nadu,Chennai,3590077341,18,Immigration Law,Sessions Court,"['Gujarati', 'Tamil', 'Telugu', 'English', 'Bengali', 'Marathi', 'Hindi']",3.98,2023-12-19 21:50:58.549698,,True,5496
135,Ved,Jha,ved.jha@gmail.com,,,Male,500056,Telangana,Hyderabad,2556252378,20,Civil Rights Law,District Court,"['Bengali', 'English', 'Telugu', 'Marathi', 'Hindi', 'Tamil', 'Gujarati', 'Kannada']",3.57,2023-12-19 21:50:58.549698,,True,2375
136,Suhana,Das,suhana.das@hotmail.com,,,Female,110045,Delhi,Delhi,5640493023,20,Immigration Law,Supreme Court,"['Marathi', 'English', 'Telugu', 'Hindi', 'Gujarati']",3.5,2023-12-19 21:50:58.549698,,True,3577
137,Vansh,Kumar,vansh.kumar@rediffmail.com,,,Female,500074,Telangana,Hyderabad,7300225663,6,Real Estate Law,High Court,"['Gujarati', 'Tamil', 'Marathi']",4.78,2023-12-19 21:50:58.549698,,True,4289
138,Aarohi,Verma,aarohi.verma@yahoo.com,,,Male,700053,West Bengal,Kolkata,5004727707,27,Real Estate Law,District Court,"['English', 'Tamil', 'Gujarati', 'Telugu', 'Kannada']",4.86,2023-12-19 21:50:58.549698,,True,4085
139,Yash,Mishra,yash.mishra@outlook.com,,,Female,600046,Tamil Nadu,Chennai,2805813505,20,Immigration Law,High Court,"['Tamil', 'Hindi']",4.7,2023-12-19 21:50:58.549698,,True,4325
140,Amaira,Das,amaira.das@gmail.com,,,Male,226058,Uttar Pradesh,Lucknow,5542902063,9,Family Law,High Court,"['Bengali', 'English', 'Tamil', 'Telugu', 'Marathi', 'Hindi', 'Kannada']",4.16,2023-12-19 21:50:58.549698,,True,5541
141,Mohit,Mishra,mohit.mishra@outlook.com,,,Female,500045,Telangana,Hyderabad,5918441137,9,Personal Injury Law,Sessions Court,"['Marathi', 'Telugu', 'Gujarati', 'Tamil', 'English']",3.69,2023-12-19 21:50:58.549698,,True,6300
142,Eshan,Choudhary,eshan.choudhary@yahoo.com,,,Female,110094,Delhi,Delhi,5618002926,18,Family Law,Sessions Court,"['Hindi', 'Tamil', 'Gujarati', 'Marathi']",4.21,2023-12-19 21:50:58.549698,,True,4550
143,Zara,Singh,zara.singh@yahoo.com,,,Male,500080,Telangana,Hyderabad,8460326223,20,Immigration Law,Sessions Court,['Tamil'],3.56,2023-12-19 21:50:58.549698,,True,4288
144,Ananya,Jha,ananya.jha@gmail.com,,,Male,110055,Delhi,Delhi,8060575278,15,Corporate Law,Sessions Court,"['Gujarati', 'Kannada', 'Hindi', 'English']",4.89,2023-12-19 21:50:58.549698,,True,2165
145,Aarav,Roy,aarav.roy@hotmail.com,,,Female,110018,Delhi,Delhi,899567112,23,Criminal Law,Supreme Court,"['Hindi', 'Gujarati', 'Telugu']",3.08,2023-12-19 21:50:58.549698,,True,5842
146,Zain,Malhotra,zain.malhotra@outlook.com,,,Male,226094,Uttar Pradesh,Lucknow,1122848201,12,Real Estate Law,Supreme Court,['Bengali'],4.02,2023-12-19 21:50:58.549698,,True,2310
147,Bhavya,Naik,bhavya.naik@rediffmail.com,,,Male,226056,Uttar Pradesh,Lucknow,2795696366,6,Personal Injury Law,High Court,"['Kannada', 'English', 'Gujarati', 'Bengali', 'Telugu', 'Marathi']",4.17,2023-12-19 21:50:58.549698,,True,4474
148,Avni,Rao,avni.rao@hotmail.com,,,Female,700042,West Bengal,Kolkata,4975155187,23,Real Estate Law,Sessions Court,"['Gujarati', 'Tamil', 'English', 'Hindi']",4.69,2023-12-19 21:50:58.549698,,True,2355
149,Aadi,Khan,aadi.khan@gmail.com,,,Female,500015,Telangana,Hyderabad,7454839442,24,Family Law,Sessions Court,"['English', 'Telugu']",3.99,2023-12-19 21:50:58.549698,,True,3237
150,Chahat,Gupta,chahat.gupta@rediffmail.com,,,Female,560071,Karnataka,Bangalore,1217799826,1,Criminal Law,Supreme Court,"['Hindi', 'Kannada', 'Telugu', 'English', 'Tamil', 'Bengali', 'Gujarati']",4.96,2023-12-19 21:50:58.549698,,True,5487
151,Neev,Das,neev.das@gmail.com,,,Male,110085,Delhi,Delhi,6813022422,26,Real Estate Law,Supreme Court,"['Gujarati', 'Marathi', 'Kannada', 'Bengali']",4.47,2023-12-19 21:50:58.549698,,True,4717
152,Kiaan,Naik,kiaan.naik@yahoo.com,,,Male,560068,Karnataka,Bangalore,4478980826,5,Real Estate Law,Sessions Court,"['Bengali', 'English', 'Gujarati']",3.09,2023-12-19 21:50:58.549698,,True,5152
153,Avishi,Das,avishi.das@outlook.com,,,Female,226012,Uttar Pradesh,Lucknow,5008519641,26,Family Law,Sessions Court,['English'],3.2,2023-12-19 21:50:58.549698,,True,2070
154,Esha,Sharma,esha.sharma@yahoo.com,,,Female,110092,Delhi,Delhi,7013703901,11,Personal Injury Law,Supreme Court,"['Bengali', 'Tamil']",3.24,2023-12-19 21:50:58.549698,,True,2434
155,Aryan,Yadav,aryan.yadav@gmail.com,,,Female,302062,Rajasthan,Jaipur,2489770187,14,Immigration Law,High Court,"['Marathi', 'Gujarati', 'Telugu', 'Tamil', 'Hindi']",3.67,2023-12-19 21:50:58.549698,,True,3225
156,Ishant,Pradhan,ishant.pradhan@hotmail.com,,,Female,600066,Tamil Nadu,Chennai,1601877720,24,Civil Rights Law,Magistrate Court,"['Hindi', 'Telugu', 'Bengali', 'Kannada']",4.6,2023-12-19 21:50:58.549698,,True,2548
157,Avni,Pathak,avni.pathak@outlook.com,,,Male,226015,Uttar Pradesh,Lucknow,7072928438,8,Family Law,Sessions Court,"['Bengali', 'Telugu', 'Hindi', 'Gujarati', 'Tamil']",4.99,2023-12-19 21:50:58.549698,,True,2880
158,Daivik,Jha,daivik.jha@gmail.com,,,Female,380032,Gujarat,Ahmedabad,5812292374,27,Immigration Law,Magistrate Court,"['English', 'Marathi', 'Kannada', 'Gujarati', 'Tamil', 'Telugu', 'Bengali', 'Hindi']",4.75,2023-12-19 21:50:58.549698,,True,5626
159,Ishani,Pandey,ishani.pandey@outlook.com,,,Male,380044,Gujarat,Ahmedabad,6869342584,26,Criminal Law,Supreme Court,['Gujarati'],4.19,2023-12-19 21:50:58.549698,,True,5642
160,Advik,Yadav,advik.yadav@rediffmail.com,,,Female,560042,Karnataka,Bangalore,7067042988,1,Real Estate Law,Sessions Court,"['English', 'Telugu', 'Marathi', 'Bengali']",4.89,2023-12-19 21:50:58.549698,,True,4127
161,Ishika,Thakur,ishika.thakur@gmail.com,,,Male,600093,Tamil Nadu,Chennai,7537151018,9,Civil Rights Law,Magistrate Court,['Bengali'],4.87,2023-12-19 21:50:58.549698,,True,5060
162,Diya,Kumar,diya.kumar@hotmail.com,,,Female,110080,Delhi,Delhi,1538954909,12,Real Estate Law,Magistrate Court,"['Bengali', 'Tamil', 'Kannada', 'Gujarati', 'Hindi']",4.35,2023-12-19 21:50:58.549698,,True,5639
163,Ishita,Khan,ishita.khan@hotmail.com,,,Male,380095,Gujarat,Ahmedabad,3488675296,10,Personal Injury Law,High Court,"['Kannada', 'Tamil', 'English', 'Marathi']",4.72,2023-12-19 21:50:58.549698,,True,5339
164,Advik,Rao,advik.rao@yahoo.com,,,Female,600099,Tamil Nadu,Chennai,7012240492,7,Criminal Law,Magistrate Court,"['Hindi', 'Gujarati', 'Kannada']",4.75,2023-12-19 21:50:58.549698,,True,6528
165,Kritika,Patel,kritika.patel@rediffmail.com,,,Male,302073,Rajasthan,Jaipur,9745220801,24,Family Law,Sessions Court,['Tamil'],4.33,2023-12-19 21:50:58.549698,,True,6144
166,Eshan,Choudhary,eshan.choudhary@outlook.com,,,Male,302065,Rajasthan,Jaipur,3208058808,7,Real Estate Law,Supreme Court,"['English', 'Bengali', 'Telugu', 'Tamil', 'Kannada', 'Gujarati']",4.33,2023-12-19 21:50:58.549698,,True,6356
167,Raghav,Roy,raghav.roy@hotmail.com,,,Female,302038,Rajasthan,Jaipur,5573120227,17,Real Estate Law,Supreme Court,"['Marathi', 'Gujarati']",4.4,2023-12-19 21:50:58.549698,,True,5766
168,Vihaan,Khan,vihaan.khan@hotmail.com,,,Female,226035,Uttar Pradesh,Lucknow,6487560186,17,Real Estate Law,Magistrate Court,['Tamil'],4.02,2023-12-19 21:50:58.549698,,True,3118
169,Riya,Deshmukh,riya.deshmukh@hotmail.com,,,Female,380089,Gujarat,Ahmedabad,4111310485,25,Corporate Law,High Court,['Gujarati'],4.59,2023-12-19 21:50:58.549698,,True,5271
170,Mohit,Shah,mohit.shah@hotmail.com,,,Male,560019,Karnataka,Bangalore,7556391187,2,Personal Injury Law,Supreme Court,"['Gujarati', 'Kannada', 'Tamil', 'Telugu', 'English', 'Bengali']",4.04,2023-12-19 21:50:58.549698,,True,4050
171,Kiara,Mishra,kiara.mishra@outlook.com,,,Female,411079,Maharashtra,Pune,3746427890,2,Personal Injury Law,Supreme Court,"['English', 'Tamil']",4.56,2023-12-19 21:50:58.549698,,True,3967
172,Zoya,Mishra,zoya.mishra@hotmail.com,,,Female,500073,Telangana,Hyderabad,7486700592,17,Civil Rights Law,District Court,"['Gujarati', 'Hindi', 'English', 'Kannada', 'Marathi']",3.44,2023-12-19 21:50:58.549698,,True,4390
173,Ishani,Pathak,ishani.pathak@gmail.com,,,Female,560074,Karnataka,Bangalore,5698223761,6,Family Law,Supreme Court,"['Telugu', 'Gujarati', 'Marathi', 'Tamil']",4.03,2023-12-19 21:50:58.549698,,True,4874
174,Om,Das,om.das@yahoo.com,,,Male,600040,Tamil Nadu,Chennai,1507188859,6,Personal Injury Law,Supreme Court,"['Kannada', 'Gujarati', 'English', 'Tamil', 'Bengali']",3.95,2023-12-19 21:50:58.549698,,True,4827
175,Kiaan,Singh,kiaan.singh@gmail.com,,,Female,380027,Gujarat,Ahmedabad,4017078408,19,Immigration Law,District Court,"['Tamil', 'Telugu']",4.52,2023-12-19 21:50:58.549698,,True,3911
176,Eshan,Naik,eshan.naik@gmail.com,,,Female,302034,Rajasthan,Jaipur,8586958326,19,Personal Injury Law,Supreme Court,"['Marathi', 'Bengali', 'Gujarati', 'Hindi', 'English']",4.16,2023-12-19 21:50:58.549698,,True,3565
177,Vidhi,Singh,vidhi.singh@yahoo.com,,,Male,560095,Karnataka,Bangalore,4196542046,5,Corporate Law,Supreme Court,"['Hindi', 'Kannada', 'English']",3.66,2023-12-19 21:50:58.549698,,True,5427
178,Kavya,Verma,kavya.verma@outlook.com,,,Male,700044,West Bengal,Kolkata,7673727855,29,Immigration Law,High Court,"['Hindi', 'Tamil', 'Kannada', 'Gujarati', 'Bengali']",4.48,2023-12-19 21:50:58.549698,,True,3146
179,Ishwar,Pradhan,ishwar.pradhan@rediffmail.com,,,Male,380021,Gujarat,Ahmedabad,6383684888,3,Criminal Law,High Court,"['Kannada', 'Gujarati']",3.85,2023-12-19 21:50:58.549698,,True,4858
180,Saanvi,Sharma,saanvi.sharma@gmail.com,,,Male,411081,Maharashtra,Mumbai,9990120481,19,Criminal Law,Supreme Court,"['English', 'Bengali', 'Kannada']",3.42,2023-12-19 21:50:58.549698,,True,3287
181,Ishwar,Roy,ishwar.roy@hotmail.com,,,Male,380051,Gujarat,Ahmedabad,2075261196,13,Civil Rights Law,High Court,"['Gujarati', 'Marathi']",3.27,2023-12-19 21:50:58.549698,,True,2888
182,Amaira,Roy,amaira.roy@yahoo.com,,,Female,500070,Telangana,Hyderabad,2365702195,10,Corporate Law,Sessions Court,"['English', 'Telugu']",3.01,2023-12-19 21:50:58.549698,,True,5042
183,Suhana,Deshmukh,suhana.deshmukh@hotmail.com,,,Male,380040,Gujarat,Ahmedabad,5284595924,16,Real Estate Law,Magistrate Court,"['Bengali', 'English']",4.7,2023-12-19 21:50:58.549698,,True,4042
184,Tanvi,Das,tanvi.das@yahoo.com,,,Female,380046,Gujarat,Ahmedabad,1615211789,8,Family Law,District Court,"['Tamil', 'Telugu', 'Marathi']",4.54,2023-12-19 21:50:58.549698,,True,6800
185,Zara,Yadav,zara.yadav@rediffmail.com,,,Female,700037,West Bengal,Kolkata,6871549140,1,Personal Injury Law,High Court,"['Marathi', 'Gujarati', 'English']",4.19,2023-12-19 21:50:58.549698,,True,3299
186,Mohit,Kumar,mohit.kumar@outlook.com,,,Male,600046,Tamil Nadu,Chennai,7220951603,13,Family Law,Magistrate Court,"['Gujarati', 'Telugu', 'Bengali']",3.47,2023-12-19 21:50:58.549698,,True,2642
187,Shaurya,Verma,shaurya.verma@outlook.com,,,Male,110079,Delhi,Delhi,6926986923,9,Real Estate Law,Sessions Court,"['English', 'Gujarati', 'Hindi', 'Bengali', 'Telugu', 'Marathi', 'Tamil']",4.32,2023-12-19 21:50:58.549698,,True,6055
188,Yuvan,Shah,yuvan.shah@hotmail.com,,,Female,110036,Delhi,Delhi,9051194842,16,Real Estate Law,Supreme Court,"['Tamil', 'Gujarati', 'Hindi', 'Bengali', 'Kannada', 'Telugu']",3.23,2023-12-19 21:50:58.549698,,True,3059
189,Ishika,Thakur,ishika.thakur@gmail.com,,,Female,700076,West Bengal,Kolkata,9910638129,18,Family Law,Supreme Court,"['Gujarati', 'Telugu']",3.03,2023-12-19 21:50:58.549698,,True,2628
190,Ishani,Pandey,ishani.pandey@rediffmail.com,,,Female,302041,Rajasthan,Jaipur,8099105723,11,Civil Rights Law,Sessions Court,"['Telugu', 'Tamil', 'Hindi', 'English', 'Marathi', 'Kannada', 'Bengali', 'Gujarati']",4.54,2023-12-19 21:50:58.549698,,True,3822
191,Misha,Mishra,misha.mishra@rediffmail.com,,,Female,700063,West Bengal,Kolkata,9928578909,20,Criminal Law,Sessions Court,"['Kannada', 'Bengali', 'Gujarati', 'Telugu', 'Tamil', 'Marathi']",4.59,2023-12-19 21:50:58.549698,,True,4578
192,Riya,Naik,riya.naik@gmail.com,,,Female,110015,Delhi,Delhi,4444184190,9,Family Law,Magistrate Court,"['Gujarati', 'English', 'Marathi', 'Kannada', 'Hindi']",3.01,2023-12-19 21:50:58.549698,,True,4448
193,Tanvi,Gupta,tanvi.gupta@rediffmail.com,,,Female,411051,Maharashtra,Mumbai,1307673616,19,Criminal Law,Magistrate Court,"['Gujarati', 'English']",3.99,2023-12-19 21:50:58.549698,,True,5404
194,Zain,Jha,zain.jha@gmail.com,,,Male,411033,Maharashtra,Pune,2780137585,28,Personal Injury Law,High Court,"['English', 'Marathi', 'Tamil', 'Telugu', 'Hindi', 'Bengali']",4.09,2023-12-19 21:50:58.549698,,True,3699
195,Ved,Roy,ved.roy@hotmail.com,,,Male,411070,Maharashtra,Mumbai,6192505159,1,Real Estate Law,Sessions Court,"['Hindi', 'Telugu']",4.35,2023-12-19 21:50:58.549698,,True,4156
196,Mohit,Patel,mohit.patel@outlook.com,,,Female,500021,Telangana,Hyderabad,3822283337,23,Civil Rights Law,High Court,"['Marathi', 'Bengali', 'Kannada', 'Gujarati', 'Hindi', 'Telugu']",3.9,2023-12-19 21:50:58.549698,,True,6180
197,Ishani,Singh,ishani.singh@rediffmail.com,,,Female,560071,Karnataka,Bangalore,1485171355,11,Civil Rights Law,Magistrate Court,"['Kannada', 'Telugu', 'Tamil', 'Marathi', 'English', 'Gujarati']",3.91,2023-12-19 21:50:58.549698,,True,2720
198,Rohan,Shah,rohan.shah@gmail.com,,,Female,110015,Delhi,Delhi,5774681759,7,Civil Rights Law,Magistrate Court,"['Telugu', 'Kannada', 'Hindi', 'Tamil', 'Marathi']",4.87,2023-12-19 21:50:58.549698,,True,5554
199,Aarav,Chauhan,aarav.chauhan@rediffmail.com,,,Female,302021,Rajasthan,Jaipur,5076379229,11,Corporate Law,Magistrate Court,"['English', 'Marathi', 'Tamil', 'Gujarati', 'Bengali']",3.92,2023-12-19 21:50:58.549698,,True,2568
200,Ishani,Gupta,ishani.gupta@yahoo.com,,,Female,560053,Karnataka,Bangalore,4898143712,17,Immigration Law,Magistrate Court,"['Marathi', 'Tamil', 'Bengali', 'Telugu', 'English']",3.95,2023-12-19 21:50:58.549698,,True,6922
201,Ishita,Naik,ishita.naik@rediffmail.com,,,Female,500051,Telangana,Hyderabad,2046781022,26,Personal Injury Law,Sessions Court,"['Bengali', 'Telugu', 'Hindi', 'English', 'Kannada', 'Marathi', 'Gujarati', 'Tamil']",4.1,2023-12-19 21:50:58.549698,,True,5150
202,Yuvika,Singh,yuvika.singh@rediffmail.com,,,Female,302096,Rajasthan,Jaipur,2403790198,15,Immigration Law,Magistrate Court,"['English', 'Gujarati', 'Telugu']",3.29,2023-12-19 21:50:58.549698,,True,5141
203,Arjun,Mishra,arjun.mishra@hotmail.com,,,Male,411046,Maharashtra,Mumbai,1302350180,9,Civil Rights Law,High Court,"['Gujarati', 'Telugu', 'English', 'Kannada', 'Tamil', 'Hindi', 'Bengali']",3.04,2023-12-19 21:50:58.549698,,True,4894
204,Esha,Choudhary,esha.choudhary@outlook.com,,,Female,560093,Karnataka,Bangalore,5300332456,10,Criminal Law,Supreme Court,"['Hindi', 'Telugu', 'Bengali', 'Marathi', 'Gujarati']",3.87,2023-12-19 21:50:58.549698,,True,5800
205,Raghav,Chauhan,raghav.chauhan@hotmail.com,,,Male,411046,Maharashtra,Pune,2145296052,22,Immigration Law,Sessions Court,"['Hindi', 'Gujarati']",3.8,2023-12-19 21:50:58.549698,,True,5540
206,Raghav,Chauhan,raghav.chauhan@yahoo.com,,,Male,110093,Delhi,Delhi,7978929594,22,Personal Injury Law,Sessions Court,"['Kannada', 'English', 'Gujarati', 'Marathi', 'Bengali']",4.63,2023-12-19 21:50:58.549698,,True,5489
207,Kavya,Deshmukh,kavya.deshmukh@gmail.com,,,Male,500033,Telangana,Hyderabad,1438357170,21,Real Estate Law,Magistrate Court,"['Hindi', 'Tamil', 'Bengali', 'Marathi', 'Telugu', 'Kannada', 'English']",4.19,2023-12-19 21:50:58.549698,,True,3985
208,Samaira,Chauhan,samaira.chauhan@outlook.com,,,Male,411083,Maharashtra,Pune,1104538815,3,Criminal Law,District Court,"['English', 'Hindi', 'Bengali', 'Telugu', 'Marathi', 'Tamil']",3.57,2023-12-19 21:50:58.549698,,True,5801
209,Eshan,Khan,eshan.khan@hotmail.com,,,Female,500073,Telangana,Hyderabad,1768234510,24,Immigration Law,District Court,"['Hindi', 'Bengali', 'Gujarati', 'Marathi']",3.17,2023-12-19 21:50:58.549698,,True,2078
210,Kritika,Verma,kritika.verma@gmail.com,,,Male,500070,Telangana,Hyderabad,7381114102,4,Personal Injury Law,High Court,"['Marathi', 'Telugu', 'English']",3.9,2023-12-19 21:50:58.549698,,True,5594
211,Avishi,Patel,avishi.patel@yahoo.com,,,Male,226082,Uttar Pradesh,Lucknow,2120152909,26,Civil Rights Law,District Court,"['Telugu', 'Gujarati', 'English', 'Hindi', 'Tamil']",4.68,2023-12-19 21:50:58.549698,,True,2162
212,Mohit,Jha,mohit.jha@yahoo.com,,,Male,380055,Gujarat,Ahmedabad,3613956063,26,Corporate Law,High Court,['Marathi'],4.86,2023-12-19 21:50:58.549698,,True,5450
213,Yuvan,Pradhan,yuvan.pradhan@hotmail.com,,,Female,226013,Uttar Pradesh,Lucknow,6289854403,4,Family Law,High Court,"['Telugu', 'Tamil', 'Gujarati', 'English', 'Hindi', 'Bengali', 'Marathi']",4.9,2023-12-19 21:50:58.549698,,True,5271
214,Arjun,Pradhan,arjun.pradhan@gmail.com,,,Male,700059,West Bengal,Kolkata,5004380634,14,Immigration Law,Supreme Court,"['Gujarati', 'Marathi', 'Kannada', 'Telugu', 'English', 'Bengali', 'Hindi', 'Tamil']",4.0,2023-12-19 21:50:58.549698,,True,2420
215,Pari,Choudhary,pari.choudhary@outlook.com,,,Male,700046,West Bengal,Kolkata,2896468513,13,Real Estate Law,District Court,"['English', 'Kannada', 'Bengali', 'Telugu', 'Hindi', 'Gujarati']",4.46,2023-12-19 21:50:58.549698,,True,6836
216,Shiv,Reddy,shiv.reddy@rediffmail.com,,,Male,560097,Karnataka,Bangalore,6280824488,4,Immigration Law,Supreme Court,"['Tamil', 'Hindi', 'Bengali', 'Gujarati', 'English', 'Marathi']",3.46,2023-12-19 21:50:58.549698,,True,6429
217,Kritika,Mishra,kritika.mishra@outlook.com,,,Female,110090,Delhi,Delhi,1346467303,9,Immigration Law,Magistrate Court,"['Kannada', 'Tamil', 'Marathi', 'Gujarati', 'Hindi', 'Bengali']",3.1,2023-12-19 21:50:58.549698,,True,5091
218,Bhavya,Deshmukh,bhavya.deshmukh@hotmail.com,,,Male,380085,Gujarat,Ahmedabad,2774157942,19,Family Law,High Court,"['Tamil', 'Gujarati', 'English', 'Kannada', 'Hindi', 'Bengali', 'Telugu']",4.26,2023-12-19 21:50:58.549698,,True,4364
219,Rudra,Kumar,rudra.kumar@gmail.com,,,Female,110075,Delhi,Delhi,7695544024,30,Corporate Law,Magistrate Court,"['Kannada', 'Tamil', 'Hindi', 'Gujarati']",3.34,2023-12-19 21:50:58.549698,,True,2946
220,Ishaan,Khan,ishaan.khan@rediffmail.com,,,Female,600014,Tamil Nadu,Chennai,3578234764,14,Criminal Law,High Court,"['Kannada', 'Marathi', 'Bengali', 'Hindi', 'English', 'Tamil', 'Gujarati', 'Telugu']",3.62,2023-12-19 21:50:58.549698,,True,3375
221,Vansh,Naik,vansh.naik@gmail.com,,,Male,411067,Maharashtra,Pune,5440609785,24,Family Law,High Court,"['Kannada', 'Tamil', 'Gujarati', 'Hindi', 'Bengali']",3.04,2023-12-19 21:50:58.549698,,True,5280
222,Mihika,Patel,mihika.patel@rediffmail.com,,,Male,500085,Telangana,Hyderabad,5875055982,17,Family Law,District Court,"['Bengali', 'Tamil', 'Gujarati']",4.35,2023-12-19 21:50:58.549698,,True,2855
